Lamp,Background ,Distance,Replicate,Duration,Desiccation,Ratio,Airtemp,Humidity,Startingweight
Incandescent,Black ,20cm,1,8,0.003781,0.478932584,22.9,0.5,31.19
Incandescent,Black ,20cm,2,9,0.0062908,0.764932563,23.2,0.48,32.62
Incandescent,Black ,20cm,3,9,0.0054525,0.536534447,23.1,0.48,32.29
Incandescent,Black ,20cm,5,9,0.0062613,0.420042644,22.9,0.46,31.6
Incandescent,Black ,20cm,6,9,0.0044148,0.559912854,22.9,0.47,32.79
Incandescent,Black ,20cm,7,8,0.0039491,1.093841642,21.6,0.62,31.95
Incandescent,Black ,20cm,8,8,0.0037602,1.181818182,21.6,0.59,29.65
Incandescent,Black ,20cm,9,10,0.0035823,1.189189189,20.9,0.585,34
Incandescent,Black ,20cm,10,9,0.0044767,0.995545657,21.6,0.57,31.09
Incandescent,Black ,30cm,1,15,0.005124,0.602150538,22.7,0.46,30.69
Incandescent,Black ,30cm,2,16,0.0041407,0.142461964,19.8,0.535,32.96
Incandescent,Black ,30cm,3,14,0.0032197,0.358437936,20.9,0.565,30.42
Incandescent,Black ,30cm,4,20,0.0059676,0.143939394,20.3,0.535,32.87
Incandescent,Black ,30cm,5,22,0.0085148,0.413233458,19.6,0.525,31.95
Incandescent,Black ,30cm,6,17,0.0053882,0.787752262,19.4,0.52,30.02
Incandescent,Black ,30cm,7,16,0.0068208,0.041297935,19.3,0.515,33.95
Incandescent,Black ,30cm,8,20,0.0062712,0.051851852,19.5,0.53,32.07
Incandescent,Black ,30cm,9,15,0.0042014,0.21978022,19.8,0.565,29.37
Incandescent,Black ,30cm,10,11,0.0043575,0.161313348,20.3,0.58,28.32
Carbon Filament Heater,Black ,20cm,1,20,0.0063997,0.357142857,23.1,0.48,29.54
Carbon Filament Heater,Black ,20cm,2,21,0.0054466,0.201877934,23.7,0.49,34.95
Carbon Filament Heater,Black ,20cm,3,19,0.0052574,0.669811321,23.6,0.5,31.57
Carbon Filament Heater,Black ,20cm,4,16,0.0047318,0.551569507,23.8,0.51,30.47
Carbon Filament Heater,Black ,20cm,5,19,0.0025314,0.842342342,23,0.57,30.02
Carbon Filament Heater,Black ,20cm,6,20,0.0043485,,22.7,0.58,30.49
Carbon Filament Heater,Black ,20cm,7,17,0.0023077,0.668141593,24.3,0.55,28.43
Carbon Filament Heater,Black ,20cm,8,17,0.0009463,0.728506787,24.5,0.565,31.21
Carbon Filament Heater,Black ,20cm,9,15,0.0036228,0.711111111,24.6,0.595,29.8
Carbon Filament Heater,Black ,20cm,10,22,0.0058877,0.27184466,23.5,0.43,32.16
Carbon Filament Heater,Black ,30cm,1,30,0.0014799,1.153846154,23.5,0.645,32.97
Carbon Filament Heater,Black ,30cm,2,29,0.002097,0.754826255,24.5,0.635,32.84
Carbon Filament Heater,Black ,30cm,3,27,0.0024254,0.989071038,24.8,0.6,31.54
Carbon Filament Heater,Black ,30cm,4,30,0.0034234,1.909090909,24.9,0.55,32.62
Carbon Filament Heater,Black ,30cm,5,30,0.0028722,1.027272727,25.1,0.53,34.24
Carbon Filament Heater,Black ,30cm,7,29,0.0042228,1.240150094,26.8,0.51,29.57
